parent_sku,format,qty_available,highest_bid,least_listing_price,last_bbx_transaction,market_price,has_already_bidded,name,product_url,family_type,maturity,colour,country,region,subregion,grape_varieties,vintage,sweetness,producer,sku,alcohol_percentage,case_size,bottle_volume,bottle_order_unit,bbx_listing_id,bbx_listing_date
20021082946,03-00750,36,1500.0,0,1900,0.0,False,"2002 Champagne Salon, Le Mesnil, Blanc de Blancs, Brut",/products-20021082946-2002-champagne-salon-le-mesnil-blanc-de-blancs-brut,Wines,Ready - at best,White,France,Champagne,Côte des Blancs,['Chardonnay'],2002,Dry,Salon,2002-01-00750-01-1082946,['12'],1,75 cl,Bottle,37483,2025-06-28
20021082946,06-00750,91,3590.0,4350,0,0.0,False,"2002 Champagne Salon, Le Mesnil, Blanc de Blancs, Brut",/products-20021082946-2002-champagne-salon-le-mesnil-blanc-de-blancs-brut,Wines,Ready - at best,White,France,Champagne,Côte des Blancs,['Chardonnay'],2002,Dry,Salon,2002-01-00750-01-1082946,['12'],1,75 cl,Bottle,37483,2025-06-28
20021082542,01-00750,1,185.0,449,0,221.25,False,"2002 Champagne Louis Roederer, Cristal, Brut",/products-20021082542-2002-champagne-louis-roederer-cristal-brut,Wines,Ready - at best,White,France,Champagne,,,2002,Dry,Louis Roederer,2002-06-00750-00-1082542,['12'],6,75 cl,Bottle,37482,2025-06-28
20021082542,01-01500,1,355.0,0,0,442.5,False,"2002 Champagne Louis Roederer, Cristal, Brut",/products-20021082542-2002-champagne-louis-roederer-cristal-brut,Wines,Ready - at best,White,France,Champagne,,,2002,Dry,Louis Roederer,2002-06-00750-00-1082542,['12'],6,75 cl,Bottle,37482,2025-06-28
20021082542,03-00750,51,750.0,840,790,663.75,False,"2002 Champagne Louis Roederer, Cristal, Brut",/products-20021082542-2002-champagne-louis-roederer-cristal-brut,Wines,Ready - at best,White,France,Champagne,,,2002,Dry,Louis Roederer,2002-06-00750-00-1082542,['12'],6,75 cl,Bottle,37482,2025-06-28
20021082542,03-01500,10,935.0,0,0,1327.5,False,"2002 Champagne Louis Roederer, Cristal, Brut",/products-20021082542-2002-champagne-louis-roederer-cristal-brut,Wines,Ready - at best,White,France,Champagne,,,2002,Dry,Louis Roederer,2002-06-00750-00-1082542,['12'],6,75 cl,Bottle,37482,2025-06-28
20021082542,06-00750,114,1255.0,1395,1295,1327.5,False,"2002 Champagne Louis Roederer, Cristal, Brut",/products-20021082542-2002-champagne-louis-roederer-cristal-brut,Wines,Ready - at best,White,France,Champagne,,,2002,Dry,Louis Roederer,2002-06-00750-00-1082542,['12'],6,75 cl,Bottle,37482,2025-06-28
20098004817,01-03000,1,313.0,0,0,440.0,False,"2009 Château Lynch-Bages, Pauillac, Bordeaux",/products-20098004817-2009-chateau-lynch-bages-pauillac-bordeaux,Wines,Ready - youthful,Red,France,Bordeaux,Médoc,"['Cabernet Sauvignon', 'Merlot', 'Petit Verdot', 'Cabernet Franc']",2009,Dry,Château Lynch-Bages,2009-06-00750-00-8004817,['13.5'],6,75 cl,Bottle,37470,2025-06-28
20098004817,01-06000,13,675.0,0,0,880.0,False,"2009 Château Lynch-Bages, Pauillac, Bordeaux",/products-20098004817-2009-chateau-lynch-bages-pauillac-bordeaux,Wines,Ready - youthful,Red,France,Bordeaux,Médoc,"['Cabernet Sauvignon', 'Merlot', 'Petit Verdot', 'Cabernet Franc']",2009,Dry,Château Lynch-Bages,2009-06-00750-00-8004817,['13.5'],6,75 cl,Bottle,37470,2025-06-28
20098004817,01-09000,14,970.0,0,0,1320.0,False,"2009 Château Lynch-Bages, Pauillac, Bordeaux",/products-20098004817-2009-chateau-lynch-bages-pauillac-bordeaux,Wines,Ready - youthful,Red,France,Bordeaux,Médoc,"['Cabernet Sauvignon', 'Merlot', 'Petit Verdot', 'Cabernet Franc']",2009,Dry,Château Lynch-Bages,2009-06-00750-00-8004817,['13.5'],6,75 cl,Bottle,37470,2025-06-28
20098004817,06-00750,2389,590.0,650,660,660.0,False,"2009 Château Lynch-Bages, Pauillac, Bordeaux",/products-20098004817-2009-chateau-lynch-bages-pauillac-bordeaux,Wines,Ready - youthful,Red,France,Bordeaux,Médoc,"['Cabernet Sauvignon', 'Merlot', 'Petit Verdot', 'Cabernet Franc']",2009,Dry,Château Lynch-Bages,2009-06-00750-00-8004817,['13.5'],6,75 cl,Bottle,37470,2025-06-28
